"No.","業種検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","座標X","座標Ｙ","icon","iLv","LocName","fX","fY","iConf","iLvl"
1,飲み屋,北海道,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
2,レストラン,北海道,1446,レストランＰｉｎｏ,041-1102,北海道亀田郡七飯町字峠下１１－９,,http://r.gnavi.co.jp/h076100/,ホテルの味を気軽に楽しめる緑の屋根のイタリアンレストラン,0138-64-8410,,,,,,,,,,,,"北海道/亀田郡/七飯町/峠下","140.65727","41.93730","5","5"
,,,,かに御殿,059-0642,北海道白老郡白老町字竹浦９６－２,,http://kanigoten.shop67.makeshop.jp/,毛蟹・タラバ・ズワイガニ 他新鮮な海の幸を北海道より全国発送,0144-87-3887,,,,,,,,,,,,"北海道/白老郡/白老町/竹浦","141.25417","42.51090","5","5"
,,,,釧路フィッシャーマンズワーフＭＯＯ,085-0016,北海道釧路市錦町２丁目４,moo@moo946.com,http://moo946.com/,釧路港のウォーターフロントに建つ、憩いの都市型観光・商業都市,0154-23-0600,,,,,,,,,,,,"北海道/釧路市/錦町/二丁目/４番地","144.38292","42.98150","5","7"
,,,,マイウイング,087-0027,北海道根室市光和町１丁目２３,,,木のぬくもりの中で香り高いコーヒーはいかが？,0153-24-7337,,,,,,,,,,,,"北海道/根室市/光和町/一丁目/２３番地","145.57941","43.32723","5","7"
,,,,ミナミ石油株式会社灯油センター,002-8027,北海道札幌市北区篠路７条１丁目３－３,info@minamisekiyu.jp,http://www.minamisekiyu.jp/,札幌で灯油宅配は安くて早いミナミ石油　ポリタンク1つ宅配OK,011-773-7373,,,,,,,,,,,,"北海道/札幌市/北区/篠路七条/一丁目/３番","141.35225","43.15308","5","7"
,,,,ホテルベルクラシック北見,090-0046,北海道北見市北６条西１丁目８－１,kitami@bellclassic.co.jp,http://www.bellclassic.co.jp/hokkaidou/kitami/,"                                    宿泊プランをチェック 5,150円～                                                                                                                                                                                                                        ",0157-31-1200,,,,,,,,,,,,"北海道/北見市/北六条西/一丁目/８番地","143.89217","43.80702","5","7"
,,,,クイーンズＫ,070-8001,北海道旭川市神楽１条９丁目１－１２,info@queenzk.com,http://www.queenzk.com/,都心から最も近いブライダルタウン旭川駅より徒歩5分です,0166-60-3300,,,,,,,,,,,,"北海道/旭川市/神楽一条/九丁目/１番","142.35757","43.75867","5","7"
,,,,別海・道の宿・温泉しまふくろう,088-2576,北海道野付郡別海町西春別３２１,,http://douga-plus.itp.ne.jp/embed/VAh0b_Ie9r1i,北海道の大自然を贅沢に見渡せるロードステーション！,0153-77-2960,,,,,,,,,,,,"北海道/野付郡/別海町/西春別","144.78218","43.40154","5","5"
,,,,旭川クリスタルガーデン,071-8101,北海道旭川市東鷹栖１条１丁目６３５－１２６,info@c-garden.jp,http://c-garden.jp/,★旭川へ観光の際はぜひお立ち寄りください！,0166-57-8000,,,,,,,,,,,,"北海道/旭川市/東鷹栖一条/一丁目/６３５番地","142.41165","43.82343","5","7"
,,,,レストハウス太陽,068-0833,北海道岩見沢市志文町１０２８,,http://www.h-greenland.com,北海道グリーンランド内レストラン,0126-24-2147,,,,,,,,,,,,"北海道/岩見沢市/志文町","141.77139","43.16930","5","5"
,,,,レストランやまもと,040-0011,北海道函館市本町２１－１,,,函館 五稜郭カジュアルに楽しめるリーズナブルなフランス料理店,0138-55-0705,,,,,,,,,,,,"北海道/函館市/本町/２１番","140.75407","41.79031","5","7"
,,,,レストランあんどう,094-0005,北海道紋別市幸町５丁目１－２４,,http://r.goope.jp/sohgohprint/,創業1975年　紋別の老舗レストラン洋食・ハンバーグは絶品！,0158-24-8585,,,,,,,,,,,,"北海道/紋別市/幸町/五丁目/１番","143.35210","44.35144","5","7"
,,,,イート・アップ苫小牧本店,053-0053,北海道苫小牧市柳町１丁目５－１４,,http://www.eatup.co.jp,バイキングレストランEAT-UPおいしいメニュー150種以上,0144-51-2233,,,,,,,,,,,,"北海道/苫小牧市/柳町/一丁目/５番","141.65538","42.66172","5","7"
,,,,ラ・ブベェット,040-0035,北海道函館市松風町７－５,,http://www.jl1186.jp/,函館市の大門横丁　函館ひかりの屋台～手造りハム・ソーセージ～,0138-22-0058,,,,,,,,,,,,"北海道/函館市/松風町/７番","140.73012","41.77238","5","7"
,,,,焼肉豊寿園,089-3321,北海道中川郡本別町上本別８－６,,,国道沿い肉質の良さと味わいが人気です！,0156-22-2208,,,,,,,,,,,,"北海道/中川郡/本別町/上本別/８番地","143.61009","43.14545","5","7"
,,,,じゃんけんぽん,055-0411,北海道沙流郡平取町振内町３０－１１,,http://www.jyankenpon-hamburg.com,安全新鮮平取和牛ステーキハンバーグ、平取トマト料理夏季限定,01457-3-3200,,,,,,,,,,,,"北海道/沙流郡/平取町/振内町","142.30269","42.72617","5","5"
,,,,レストランしばらく,059-1501,北海道勇払郡安平町早来大町１１２－２,,http://siba-raku.com,豊富なメニューでお待ちしております！,0145-22-4100,0145-22-4100,,,,,,,,,,,"北海道/勇払郡/安平町/早来大町/１１２番地","141.81833","42.76654","5","7"
,,,,ちゅうぼう陽だまり,045-0003,北海道岩内郡岩内町字万代３９－２,,,熟練の料理人が地元の食材にこだわった料理をご提供！,0135-62-0039,,,,,,,,,,,,"北海道/岩内郡/岩内町/万代/３９番地","140.51422","42.98337","5","7"
,,,,イート・アップ岩見沢店,068-0851,北海道岩見沢市大和１条９丁目３－２,,http://www.eatup.co.jp,バイキングレストランEAT-UPおいしいメニュー150種以上,0126-32-2929,,,,,,,,,,,,"北海道/岩見沢市/大和一条/九丁目/３番地","141.73370","43.18848","5","7"
,,,,やたら家本店,042-0932,北海道函館市湯川町１丁目２８－１,,,函館 湯の川温泉でそば、うどん、丼物、ラーメンなら やたら家,0138-57-6527,,,,,,,,,,,,"北海道/函館市/湯川町/一丁目/２８番","140.78523","41.78025","5","7"
,,,,スイスレストランアルポン,049-3123,北海道二海郡八雲町立岩４０３,,http://alphorn1.com/,八雲町にある本場スイス家庭料理★ランチ・ディナー★　喫 茶,0137-62-4344,0137-62-4344,,,,,,,,,,,"北海道/二海郡/八雲町/立岩/４０３番地","140.24040","42.26186","5","7"
,,,,民宿ゆっくり大沼,041-1354,北海道亀田郡七飯町字大沼町１９０,oonumatogashi@maroon.plala.or.jp,http://www9.plala.or.jp/yukkurioonuma/,"                                    宿泊プランをチェック 5,700円～                                                                                                                                                                                                                        ",0138-67-3399,,,,,,,,,,,,"北海道/亀田郡/七飯町/大沼町","140.68341","41.96380","5","5"
,,,,ル・ボルドー,080-0026,北海道帯広市西１６条南５丁目１７－９,,http://www.le-bordeaux.jp/,北海道　帯広季節の野菜や旬な食材を使ったお食事が楽しめます,0155-38-3440,,,,,,,,,,,,"北海道/帯広市/西十六条南/五丁目/１７番","143.17784","42.91001","5","7"
,,,,お風呂とサウナのオスパー,070-0030,北海道旭川市宮下通１６丁目３－１,,,◆24H年中無休◆薬湯・食事処有◆旭川駅近く◆個室3890円,0166-25-3200,,,,,,,,,,,,"北海道/旭川市/宮下通/十六丁目","142.37132","43.76023","5","6"
,,,,イート・アップ千歳店,066-0077,北海道千歳市上長都９６１－１,,http://www.eatup.co.jp,バイキングレストランEAT-UPおいしいメニュー150種以上,0123-40-2929,,,,,,,,,,,,"北海道/千歳市/上長都/９６１番地","141.61646","42.84539","5","7"
,,,,株式会社米倉商店,083-0090,北海道中川郡池田町字大通１丁目２７,,,＝十勝ワインの町池田町＝,015-572-3665,,,,,,,,,,,,"北海道/中川郡/池田町/大通/一丁目/２７番地","143.45215","42.92115","5","7"
,,,,ホテルサンプラザ,068-0004,北海道岩見沢市４条東１丁目６－１,,http://www.iwamizawa-town.gr.jp/~sunplaza,"                                    宿泊プランをチェック 4,500円～                                                                                                                                                                                                                        ",0126-23-7788,,,,,,,,,,,,"北海道/岩見沢市/四条東/一丁目/６番地","141.76736","43.20353","5","7"
,,,,ホテルサンルート札幌,060-0807,北海道札幌市北区北７条西１丁目１－２２,yoyaku@hotel-sunroute.co.jp,http://www.hotel-sunroute.co.jp,"                                    宿泊プランをチェック 2,000円～                                                                                                                                                                                                                        ",011-737-8111,,,,,,,,,,,,"北海道/札幌市/北区/北七条西/一丁目/１番地","141.35361","43.07045","5","7"
,,,,炎山,087-0052,北海道根室市梅ケ枝町２丁目１０,,,新鮮な食材を一品、一品丁寧に仕込み、ご提供しております。,0153-27-1555,,,,,,,,,,,,"北海道/根室市/梅ケ枝町/二丁目","145.57971","43.33410","5","6"
,,,,高麗館,077-0027,北海道留萌市住之江町１丁目,,,留萌市の焼肉・ラーメン・韓国料理店です。,0164-42-8833,,,,,,,,,,,,"北海道/留萌市/住之江町/一丁目","141.65460","43.93453","5","6"
,,,,クローバーハウス西春別温泉,088-2576,北海道野付郡別海町西春別９５－３,,http://clover-house.net/,☆天然温泉100％源泉かけ流しの湯で心安らぐひとときを！,0153-77-1170,,,,,,,,,,,,"北海道/野付郡/別海町/西春別","144.78218","43.40154","5","5"
,,,,寿楽,072-0025,北海道美唄市西２条南２丁目２－１,,,地元に愛される美唄市の人気ファミリーレストラン,0126-62-6671,,,,,,,,,,,,"北海道/美唄市/西二条南/二丁目/２番","141.85670","43.33115","5","7"
,,,,ごはん屋入江のてんてん,049-5603,北海道虻田郡洞爺湖町入江１９０－１８３,,,,0142-76-2872,,,,,,,,,,,,"北海道/虻田郡/洞爺湖町/入江/１９０番地","140.77489","42.54088","5","7"
,,,,ステラマリス,070-0037,北海道旭川市７条通６丁目,,http://www.art-asahikawa.com/,,0166-25-5656,,,,,,,,,,,,"北海道/旭川市/七条通/六丁目","142.36057","43.77280","5","6"
,,,,ティペット,061-1414,北海道恵庭市漁町４３－１,,,,0123-33-5545,,,,,,,,,,,,"北海道/恵庭市/漁町/４３番地","141.57610","42.88060","5","7"
,,,,Ｎａｖｏ,076-0022,北海道富良野市若葉町１０－８,,http://www.navo-net.com,,0167-56-7993,,,,,,,,,,,,"北海道/富良野市/若葉町/１０番","142.39371","43.33889","5","7"
,,,,ビュッフェレストランリラ,070-0037,北海道旭川市７条通６丁目,,http://www.art-asahikawa.com/,,0166-27-5888,,,,,,,,,,,,"北海道/旭川市/七条通/六丁目","142.36057","43.77280","5","6"
,,,,フラノダイニング,076-0031,北海道富良野市本町１－１７－１,,,,0167-23-1422,,,,,,,,,,,,"北海道/富良野市/本町/１番","142.38840","43.34639","5","7"
