y"No.","キーワード検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","電話番号 5","FAX番号 5","電話番号 6","FAX番号 6","電話番号 7","FAX番号 7","電話番号 8","FAX番号 8","電話番号 9","FAX番号 9","電話番号 10","FAX番号 10","電話番号 11","FAX番号 11","電話番号 12","FAX番号 12","電話番号 13","FAX番号 13","電話番号 14","FAX番号 14","電話番号 15","FAX番号 15","電話番号 16","FAX番号 16","電話番号 17","FAX番号 17","電話番号 18","FAX番号 18","電話番号 19","FAX番号 19","電話番号 20","FAX番号 20","LocName","fX","fY","iConf","iLvl"
110,レストラン,鹿児島県,684,やけうちの宿,894-3301,鹿児島県大島郡宇検村大字湯湾２９３７－８６,,http://www.yakeuchinoyado.jp/index.htm,"                                    宿泊プランをチェック 6,156円～                                                                                                                                                                                                                        ",0997-56-5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/宇検村/湯湾","129.29561","28.28211","5","5"
,,,,花いちもんめ,899-6603,鹿児島県霧島市牧園町高千穂３８６４－３８７,vaning321@po.synapse.ne.jp,,天孫降臨の地・霧島連山の台所！！,0995-78-2888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/牧園町高千穂/３８６４番地","130.82430","31.87217","5","7"
,,,,鉄板焼華,892-0842,鹿児島県鹿児島市東千石町８－８－１Ｆ,,http://r.gnavi.co.jp/f543600/menu1.html,臨場感溢れる店内鉄板の前で味わっていただく上質な時間！,099-225-1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東千石町/８番","130.55371","31.59159","5","7"
,,,,焼鳥の西屋／本店,892-0843,鹿児島県鹿児島市千日町３－１０,,http://www.yakitori-nishiya.com/,市内８店と姶良店で美味しさ御賞味下さい！やきとり・居酒屋,099-224-0850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/千日町/３番","130.55495","31.58969","5","7"
,,,,大口グリーンホテル,895-2511,鹿児島県伊佐市大口里４７９－１,,http://nttbj.itp.ne.jp/0995227211/,ご宴会・慶事・法事・同窓会・各種パーティー等にご利用頂けます,0995-22-7211,0995-22-7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/伊佐市/大口里/４７９番地","130.60442","32.06072","5","7"
,,,,ウィークリーマンションリバーサイド,899-0131,鹿児島県出水市明神町４００,,,低価格・便利に滞在・お気軽にお電話下さい！,0996-64-8282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/明神町/４００番地","130.33508","32.11242","5","7"
,,,,プラザＮ,890-0045,鹿児島県鹿児島市武１丁目４－２,,http://www.plaza-n.com/,大切な時間をヨーロッパの香りに包まれて過ごす、憩いの時間,099-298-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/武/一丁目/４番","130.53923","31.58418","5","7"
,,,,有限会社あずまの,890-0008,鹿児島県鹿児島市伊敷７丁目２－１,,http://nttbj.itp.ne.jp/0992735000/index.html,天然山芋と地そば粉の麺！（問合専用）099-228-8887,099-228-7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/伊敷/七丁目/２番","130.52077","31.62589","5","7"
,,,,奄美リゾートばしゃ山村,894-0508,鹿児島県奄美市笠利町大字用安１２４６－１,basyayama@po.synapse.ne.jp,http://www.amami-basyayama.com/,"                                    宿泊プランをチェック 6,480円～                                                                                                                                                                                                                        ",0997-63-1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/笠利町大/用安","129.65150","28.40378","5","6"
,,,,豚豚亭,894-0101,鹿児島県大島郡龍郷町屋入５１１,,,奄美の島豚　豚肉料理専門店です！,0997-62-5103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/龍郷町/屋入/５１１番地","129.60114","28.41463","5","7"
,,,,奄美きょら海工房,894-0508,鹿児島県奄美市笠利町大字用安１２５４－１,sp5v84k9@mirror.ocn.ne.jp,http://www.kyora-umi.com/index.html,"奄美大島特産の純黒糖・果物を使用した""島の味""をお届けします",0997-63-2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/笠利町大/用安","129.65150","28.40378","5","6"
,,,,ステーキハウスふじやす,892-0848,鹿児島県鹿児島市平之町１３－２９－２Ｆ,,http://www.s-fujiyasu.com,幅広い客層が長年の実績を表しています,099-224-7736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/平之町/１３番","130.54761","31.59215","5","7"
,,,,志布志湾大黒リゾートホテル,899-7101,鹿児島県志布志市志布志町夏井５５－１５,shibushi@daikoku-hotels.com,http://www.daikoku-hotels.com,"                                    宿泊プランをチェック 7,560円～                                                                                                                                                                                                                        ",099-473-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/志布志市/志布志町夏井","131.13341","31.47031","5","5"
,,,,ゴールデンパームカントリークラブ／レストラン,891-1303,鹿児島県鹿児島市本城町３６６,,,,099-294-4621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/本城町/３６６番地","130.55286","31.70893","5","7"
,,,,ダイニング徳や,890-0055,鹿児島県鹿児島市上荒田町２９－２５,,,,099-206-7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/上荒田町/２９番","130.54498","31.57505","5","7"
,,,,ファミリーレストラン珊瑚,891-6202,鹿児島県大島郡喜界町大字湾３３３,,,,0997-65-3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/喜界町/湾/３３３番地","129.93312","28.31634","5","7"
,,,,鶴丸会館,899-0203,鹿児島県出水市上鯖渕８４０－３,,,,0996-63-1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/上鯖渕/８４０番地","130.36023","32.08542","5","7"
